timestamp,left_ear,right_ear,average_ear,mar,pitch,yaw,roll,label
1787504713.513686,0.45371938491839026,0.5167472114971615,0.4852332982077759,0.4511982220920917,12.229528604817244,13.410804330859342,3.1224154821362506,awake
1787504713.6303544,0.4367294022995647,0.5104568078143301,0.4735931050569474,0.4505715997789688,12.441394196702252,14.540535875076205,3.4222699598723616,awake
1787504713.75421,0.4439061506350503,0.5101496907707627,0.47702792070290645,0.449384283299111,11.116332191734612,14.844464616213667,3.67571152671188,awake
1787504713.8648863,0.46227388596470215,0.525190445605427,0.4937321657850646,0.449465474806296,11.63051349341404,13.212623622233128,3.7903790612928647,awake
1787504713.976262,0.4570080153665871,0.5232879586393918,0.49014798700298945,0.44882562315918967,12.259750933712924,13.868535616997418,3.8520107724641295,awake
1787504714.0918849,0.45393829394287283,0.5133203704465497,0.48362933219471127,0.4495029357722906,12.63595230670607,11.903778116218811,3.4661140105737402,awake
1787504714.2344713,0.45539162486698903,0.5180574581022112,0.4867245414846001,0.45024215784269855,12.372928461121337,12.725763676219808,3.573492772802466,awake
1787504714.3516138,0.455522084612683,0.5202182471039513,0.4878701658583171,0.4503305799693932,12.958312895083282,12.580583736980527,3.9974727070156715,awake
1787504714.473216,0.45479763017730823,0.52351995370783,0.4891587919425691,0.45018916761527433,13.104711222469453,12.97010875445937,3.980600075396631,awake
1787504714.5854108,0.4619392352152244,0.5277135128313304,0.4948263740232774,0.4505248105278455,13.227400893347543,12.901162973007088,3.9274167410999863,awake
1787504714.714278,0.45291439686470214,0.5252783625955428,0.4890963797301225,0.449568703345826,12.822871900793704,14.097113258364207,3.44185621428822,awake
1787504714.826446,0.4547426068963448,0.521090050433471,0.4879163286649079,0.45193385091488675,13.408685933041632,13.986348970967216,3.876798543526964,awake
1787504714.9521742,0.4514406535424955,0.5199985038912999,0.4857195787168977,0.4515479675323936,12.511205776420578,13.969655751769325,3.714554293582695,awake
1787504715.0662074,0.4620595671568879,0.5238365065133952,0.49294803683514155,0.4505892977801742,12.925412319158118,12.851333095413358,3.6220291986971636,awake
1787504715.170203,0.4869085351529316,0.5443857337130469,0.5156471344329893,0.44976937843403575,12.304724006883776,13.853382837267414,3.8883533700459507,awake
